"filename", "language", "Java", "HTML", "PostCSS", "JavaScript", "Markdown", "Shell Script", "comment", "blank", "total"
"/Users/ryllis/IdeaProjects/chat/FIX_JAVA_VERSION.md", "Markdown", 0, 0, 0, 0, -71, 0, 0, -35, -106
"/Users/ryllis/IdeaProjects/chat/INSTALL_JAVA21.md", "Markdown", 0, 0, 0, 0, -125, 0, 0, -66, -191
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Accept_FriendRequestHandler.java", "Java", 66, 0, 0, 0, 0, 0, 8, 17, 91
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Dissolve_GroupHandler.java", "Java", 94, 0, 0, 0, 0, 0, 13, 22, 129
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_FriendRequestsHandler.java", "Java", 38, 0, 0, 0, 0, 0, 5, 12, 55
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_FriendsHandler.java", "Java", 69, 0, 0, 0, 0, 0, 9, 15, 93
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_GroupsHandler.java", "Java", 27, 0, 0, 0, 0, 0, 5, 4, 36
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Kick_GroupUserHandler.java", "Java", 135, 0, 0, 0, 0, 0, 21, 29, 185
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Mute_GroupUserHandler.java", "Java", 91, 0, 0, 0, 0, 0, 11, 21, 123
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Reject_FriendRequestHandler.java", "Java", 44, 0, 0, 0, 0, 0, 4, 13, 61
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Send_FriendRequestHandler.java", "Java", 70, 0, 0, 0, 0, 0, 8, 18, 96
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Send_PrivateHandler.java", "Java", -2, 0, 0, 0, 0, 0, 0, -1, -3
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Set_GroupAdminHandler.java", "Java", 86, 0, 0, 0, 0, 0, 13, 20, 119
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/service/UserService.java", "Java", 2, 0, 0, 0, 0, 0, 1, 1, 4
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/service/impl/UserServiceImpl.java", "Java", 54, 0, 0, 0, 0, 0, 22, 16, 92
"/Users/ryllis/IdeaProjects/chat/src/main/resources/static/app.js", "JavaScript", 0, 0, 0, 699, 0, 0, 121, 106, 926
"/Users/ryllis/IdeaProjects/chat/src/main/resources/static/index.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/ryllis/IdeaProjects/chat/src/main/resources/static/style.css", "PostCSS", 0, 0, 141, 0, 0, 0, 0, 26, 167
"/Users/ryllis/IdeaProjects/chat/使用文档.md", "Markdown", 0, 0, 0, 0, 463, 0, 0, 151, 614
"/Users/ryllis/IdeaProjects/chat/修复在线用户列表问题.md", "Markdown", 0, 0, 0, 0, -66, 0, 0, -31, -97
"/Users/ryllis/IdeaProjects/chat/修复说明-在线列表和私聊消息.md", "Markdown", 0, 0, 0, 0, -132, 0, 0, -51, -183
"/Users/ryllis/IdeaProjects/chat/修复说明-撤回消息显示.md", "Markdown", 0, 0, 0, 0, -123, 0, 0, -50, -173
"/Users/ryllis/IdeaProjects/chat/修复说明-群组列表和历史消息.md", "Markdown", 0, 0, 0, 0, -195, 0, 0, -61, -256
"/Users/ryllis/IdeaProjects/chat/前端开发选项.md", "Markdown", 0, 0, 0, 0, -133, 0, 0, -55, -188
"/Users/ryllis/IdeaProjects/chat/完整测试指南.md", "Markdown", 0, 0, 0, 0, -392, 0, 0, -151, -543
"/Users/ryllis/IdeaProjects/chat/快速测试.sh", "Shell Script", 0, 0, 0, 0, 0, -61, -6, -8, -75
"/Users/ryllis/IdeaProjects/chat/群聊功能实现说明.md", "Markdown", 0, 0, 0, 0, -304, 0, 0, -66, -370
"Total", "-", 774, 3, 141, 699, -1078, -61, 235, -104, 609
